target_id,symbol,name,score
ENSG00000236320,SLFN14,schlafen family member 14,0.04255157656912313
ENSG00000187323,DCC,DCC netrin 1 receptor,0.042494291691647014
ENSG00000134504,KCTD1,potassium channel tetramerization domain containing 1,0.042376026138147914
ENSG00000185532,PRKG1,protein kinase cGMP-dependent 1,0.04180687316193348
ENSG00000008083,JARID2,jumonji and AT-rich interaction domain containing 2,0.04159436474548977
ENSG00000145494,NDUFS6,NADH:ubiquinone oxidoreductase subunit S6,0.04157773365202895
ENSG00000166136,NDUFB8,NADH:ubiquinone oxidoreductase subunit B8,0.04157773365202895
ENSG00000165264,NDUFB6,NADH:ubiquinone oxidoreductase subunit B6,0.04157773365202895
ENSG00000168653,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,0.04157773365202895
ENSG00000186010,NDUFA13,NADH:ubiquinone oxidoreductase subunit A13,0.04157773365202895
ENSG00000109390,NDUFC1,NADH:ubiquinone oxidoreductase subunit C1,0.04157773365202895
ENSG00000185633,COXFA4L2,cytochrome c oxidase hypoxia associated subunit FA4L2,0.04157773365202895
ENSG00000167792,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1,0.04157773365202895
ENSG00000123545,NDUFAF4,NADH:ubiquinone oxidoreductase complex assembly factor 4,0.04157773365202895
ENSG00000145494,NDUFS6,NADH:ubiquinone oxidoreductase subunit S6,0.04157773365202895
ENSG00000198695,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,0.04157773365202895
ENSG00000151366,NDUFC2,NADH:ubiquinone oxidoreductase subunit C2,0.04157773365202895
ENSG00000137806,NDUFAF1,NADH:ubiquinone oxidoreductase complex assembly factor 1,0.04157773365202895
ENSG00000198840,MT-ND3,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3,0.04157773365202895
ENSG00000119421,NDUFA8,NADH:ubiquinone oxidoreductase subunit A8,0.04157773365202895
ENSG00000213619,NDUFS3,NADH:ubiquinone oxidoreductase core subunit S3,0.04157773365202895
ENSG00000267855,NDUFA7,NADH:ubiquinone oxidoreductase subunit A7,0.04157773365202895
ENSG00000174886,NDUFA11,NADH:ubiquinone oxidoreductase subunit A11,0.04157773365202895
ENSG00000170906,NDUFA3,NADH:ubiquinone oxidoreductase subunit A3,0.04157773365202895
ENSG00000186010,NDUFA13,NADH:ubiquinone oxidoreductase subunit A13,0.04157773365202895
ENSG00000198888,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,0.04157773365202895
ENSG00000164182,NDUFAF2,NADH:ubiquinone oxidoreductase complex assembly factor 2,0.04157773365202895
ENSG00000128609,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5,0.04157773365202895
ENSG00000140990,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10,0.04157773365202895
ENSG00000198886,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,0.04157773365202895
ENSG00000198695,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,0.04157773365202895
ENSG00000168653,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,0.04157773365202895
ENSG00000189043,COXFA4,cytochrome c oxidase associated subunit FA4,0.04157773365202895
ENSG00000115286,NDUFS7,NADH:ubiquinone oxidoreductase core subunit S7,0.04157773365202895
ENSG00000099795,NDUFB7,NADH:ubiquinone oxidoreductase subunit B7,0.04157773365202895
ENSG00000212907,MT-ND4L,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L,0.04157773365202895
ENSG00000110717,NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8,0.04157773365202895
ENSG00000151366,NDUFC2,NADH:ubiquinone oxidoreductase subunit C2,0.04157773365202895
ENSG00000167792,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1,0.04157773365202895
ENSG00000151366,NDUFC2,NADH:ubiquinone oxidoreductase subunit C2,0.04157773365202895
ENSG00000212907,MT-ND4L,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L,0.04157773365202895
ENSG00000119013,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3,0.04157773365202895
ENSG00000164182,NDUFAF2,NADH:ubiquinone oxidoreductase complex assembly factor 2,0.04157773365202895
ENSG00000178057,NDUFAF3,NADH:ubiquinone oxidoreductase complex assembly factor 3,0.04157773365202895
ENSG00000168653,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,0.04157773365202895
ENSG00000165264,NDUFB6,NADH:ubiquinone oxidoreductase subunit B6,0.04157773365202895
ENSG00000198888,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,0.04157773365202895
ENSG00000128609,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5,0.04157773365202895
ENSG00000125356,NDUFA1,NADH:ubiquinone oxidoreductase subunit A1,0.04157773365202895
ENSG00000160194,NDUFV3,NADH:ubiquinone oxidoreductase subunit V3,0.04157773365202895
ENSG00000198763,MT-ND2,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2,0.04157773365202895
ENSG00000267855,NDUFA7,NADH:ubiquinone oxidoreductase subunit A7,0.04157773365202895
ENSG00000158864,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2,0.04157773365202895
ENSG00000004779,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,0.04157773365202895
ENSG00000115286,NDUFS7,NADH:ubiquinone oxidoreductase core subunit S7,0.04157773365202895
ENSG00000131495,NDUFA2,NADH:ubiquinone oxidoreductase subunit A2,0.04157773365202895
ENSG00000151617,EDNRA,endothelin receptor type A,0.041441091766866354
ENSG00000213689,TREX1,three prime repair exonuclease 1,0.04136522523558525
ENSG00000145431,PDGFC,platelet derived growth factor C,0.04134120254503075
ENSG00000133069,TMCC2,transmembrane and coiled-coil domain family 2,0.0410788008482046
ENSG00000066336,SPI1,Spi-1 proto-oncogene,0.04105662605692352
ENSG00000077420,APBB1IP,amyloid beta precursor protein binding family B member 1 interacting protein,0.040736939482621255
ENSG00000137033,IL33,interleukin 33,0.040653784015317204
ENSG00000080819,CPOX,coproporphyrinogen oxidase,0.04065008821677036
ENSG00000110172,CHORDC1,cysteine and histidine rich domain containing 1,0.04039323021776448
ENSG00000122025,FLT3,fms related receptor tyrosine kinase 3,0.040295291556273045
ENSG00000023839,ABCC2,ATP binding cassette subfamily C member 2,0.03994049489577572
ENSG00000105639,JAK3,Janus kinase 3,0.039886905816846445
ENSG00000158125,XDH,xanthine dehydrogenase,0.03948469656085362
ENSG00000172331,BPGM,bisphosphoglycerate mutase,0.03947667217814642
ENSG00000106605,BLVRA,biliverdin reductase A,0.039419387300670294
ENSG00000136160,EDNRB,endothelin receptor type B,0.039360254523920744
ENSG00000117400,MPL,"MPL proto-oncogene, thrombopoietin receptor",0.039325144437725695
ENSG00000175206,NPPA,natriuretic peptide A,0.03923459737332794
ENSG00000188153,COL4A5,collagen type IV alpha 5 chain,0.03922166207841398
ENSG00000072952,IRAG1,"inositol 1,4,5-triphosphate receptor associated 1",0.039144050308930194
ENSG00000089472,HEPH,hephaestin,0.0390183931583374
ENSG00000196839,ADA,adenosine deaminase,0.038985541615698754
ENSG00000187266,EPOR,erythropoietin receptor,0.03880588474189369
ENSG00000108465,CDK5RAP3,CDK5 regulatory subunit associated protein 3,0.03873566456950359
ENSG00000121807,CCR2,C-C motif chemokine receptor 2,0.03780432333569815
ENSG00000048052,HDAC9,histone deacetylase 9,0.03764581464246671
ENSG00000006071,ABCC8,ATP binding cassette subfamily C member 8,0.03751235525049724
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,0.037327565323154885
ENSG00000078401,EDN1,endothelin 1,0.03732364716145828
ENSG00000116329,OPRD1,opioid receptor delta 1,0.03695798546847018
ENSG00000115232,ITGA4,integrin subunit alpha 4,0.03695798546847018
ENSG00000061273,HDAC7,histone deacetylase 7,0.03695798546847018
ENSG00000114013,CD86,CD86 molecule,0.03695798546847018
ENSG00000186297,GABRA5,gamma-aminobutyric acid type A receptor subunit alpha5,0.03695798546847018
ENSG00000113851,CRBN,cereblon,0.03695798546847018
ENSG00000116824,CD2,CD2 molecule,0.03695798546847018
ENSG00000182256,GABRG3,gamma-aminobutyric acid type A receptor subunit gamma3,0.03695798546847018
ENSG00000151834,GABRA2,gamma-aminobutyric acid type A receptor subunit alpha2,0.03695798546847018
ENSG00000100387,RBX1,ring-box 1,0.03695798546847018
ENSG00000011677,GABRA3,gamma-aminobutyric acid type A receptor subunit alpha3,0.03695798546847018
ENSG00000108840,HDAC5,histone deacetylase 5,0.03695798546847018
ENSG00000147099,HDAC8,histone deacetylase 8,0.03695798546847018
ENSG00000121594,CD80,CD80 molecule,0.03695798546847018
ENSG00000074803,SLC12A1,solute carrier family 12 member 1,0.03695798546847018
ENSG00000128059,PPAT,phosphoribosyl pyrophosphate amidotransferase,0.03695798546847018
ENSG00000005961,ITGA2B,integrin subunit alpha 2b,0.03695798546847018
ENSG00000100429,HDAC10,histone deacetylase 10,0.03695798546847018
ENSG00000068024,HDAC4,histone deacetylase 4,0.03695798546847018
ENSG00000163517,HDAC11,histone deacetylase 11,0.03695798546847018
ENSG00000139842,CUL4A,cullin 4A,0.03695798546847018
ENSG00000167986,DDB1,damage specific DNA binding protein 1,0.03695798546847018
ENSG00000163285,GABRG1,gamma-aminobutyric acid type A receptor subunit gamma1,0.03695798546847018
ENSG00000113327,GABRG2,gamma-aminobutyric acid type A receptor subunit gamma2,0.03695798546847018
ENSG00000068024,HDAC4,histone deacetylase 4,0.03695798546847018
ENSG00000011677,GABRA3,gamma-aminobutyric acid type A receptor subunit alpha3,0.03695798546847018
ENSG00000111530,CAND1,cullin associated and neddylation dissociated 1,0.036736237555659364
ENSG00000196776,CD47,CD47 molecule,0.03648122745592691
ENSG00000130427,EPO,erythropoietin,0.03638774226581693
ENSG00000131981,LGALS3,galectin 3,0.03609563247420588
ENSG00000116016,EPAS1,endothelial PAS domain protein 1,0.035739603880859616
ENSG00000267673,FDX2,ferredoxin 2,0.035657064379980036
ENSG00000104763,ASAH1,N-acylsphingosine amidohydrolase 1,0.03553545919899585
ENSG00000111537,IFNG,interferon gamma,0.03551376111501531
ENSG00000159339,PADI4,peptidyl arginine deiminase 4,0.035501840841012454
ENSG00000100448,CTSG,cathepsin G,0.03536140049623227
ENSG00000074181,NOTCH3,notch receptor 3,0.03525114250625134
ENSG00000110169,HPX,hemopexin,0.03519542390643903
ENSG00000178950,GAK,cyclin G associated kinase,0.035073128209578204
ENSG00000162434,JAK1,Janus kinase 1,0.03499921223864126
ENSG00000162711,NLRP3,NLR family pyrin domain containing 3,0.03490103238442871
ENSG00000187244,BCAM,basal cell adhesion molecule (Lutheran blood group),0.03488321616431157
ENSG00000081237,PTPRC,protein tyrosine phosphatase receptor type C,0.0346829134796736
ENSG00000143921,ABCG8,ATP binding cassette subfamily G member 8,0.034614849189769176
ENSG00000237330,RNF223,ring finger protein 223,0.03445962565080159
ENSG00000112182,BACH2,BACH transcriptional regulator 2,0.03413439537867906
ENSG00000006210,CX3CL1,C-X3-C motif chemokine ligand 1,0.03400134663099257
ENSG00000171456,ASXL1,ASXL transcriptional regulator 1,0.03397178024261779
ENSG00000169926,KLF13,KLF transcription factor 13,0.033831339897837605
ENSG00000140968,IRF8,interferon regulatory factor 8,0.033690899553057416
ENSG00000215041,NEURL4,neuralized E3 ubiquitin protein ligase 4,0.03360220038793309
ENSG00000213445,SIPA1,signal-induced proliferation-associated 1,0.03354306761118354
ENSG00000159197,KCNE2,potassium voltage-gated channel subfamily E regulatory subunit 2,0.033520892819902455
ENSG00000007392,LUC7L,LUC7 like,0.03351350122280876
ENSG00000227507,LTB,lymphotoxin beta,0.03318087935359253
ENSG00000226979,LTA,lymphotoxin alpha,0.03318087935359253
ENSG00000161905,ALOX15,arachidonate 15-lipoxygenase,0.03306261380009342
ENSG00000078747,ITCH,itchy E3 ubiquitin protein ligase,0.033040439008812345
ENSG00000134146,DPH6,diphthamine biosynthesis 6,0.03301826421753126
ENSG00000112769,LAMA4,laminin subunit alpha 4,0.03294434824659431
ENSG00000181163,NPM1,nucleophosmin 1,0.03293695664950062
ENSG00000261052,SULT1A3,sulfotransferase family 1A member 3,0.03287043227565738
